instrument,register,n_samples,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12
Clarinet_Bb,chalumeau,39,-29.0598,35.9874,-13.9888,9.1037,-7.7084,3.6774,-1.6489,-0.6272,3.6565,-4.2571,2.3229,-3.3574,0.2298
Contrabass_Clarinet_Bb,aigu,18,6.0681,42.8635,-24.2870,15.6619,-9.9530,7.4387,-1.8254,-1.0215,4.1968,-7.1235,4.7733,-4.6831,0.8329
Bass_Trombone,aigu,12,-4.3228,40.5227,-23.7533,8.0145,-15.8383,2.3740,-4.9895,-5.4986,2.4866,-5.5288,4.8237,-1.9264,4.0895
Viola+sordina,grave,21,-24.8675,36.4453,-14.5848,10.5291,-9.0978,3.4762,-3.2953,-3.5433,2.7690,-4.9541,2.0945,-3.6942,-0.0262
Bass_Clarinet_Bb,médium,20,0.6537,45.9181,-20.0525,12.4440,-11.4222,6.2743,0.0245,-1.0722,4.9465,-3.5315,5.6365,-2.9689,2.1629
Guitar,aigu,50,-21.7830,35.1722,-16.1665,14.2514,-7.4144,3.9048,-2.1266,-1.8933,4.0222,-2.8425,5.4791,-1.8338,1.7610
Bass_Flute,médium,9,4.6397,39.4885,-21.3856,17.0623,-17.1273,5.7007,-3.0733,-3.3574,4.6808,-7.6290,3.6676,-5.7790,1.0262
Bass_Tuba+sordina,suraigu,16,-28.7225,35.8319,-14.4666,6.0923,-13.4134,0.5839,-4.2711,-5.2131,0.6497,-6.1604,0.4082,-4.7786,-0.5485
Viola_Ensemble,grave,28,-6.4607,43.2937,-20.1951,12.1442,-8.6753,3.4598,-3.3845,-3.2916,1.9386,-6.2061,2.7873,-4.0688,0.7885
Trombone+sordina_harmon,médium,12,-42.9651,30.0787,-8.7165,10.9300,-7.0738,2.5864,-3.1876,-1.1674,4.5201,-4.5565,-0.0437,-4.6776,-0.7206
Contrabass+sordina,aigu,36,-24.8595,34.2452,-14.2976,13.0670,-8.7080,5.5728,-0.7592,-1.5851,3.2160,-4.9669,2.7222,-3.9217,0.6933
Bassoon,haut_médium,36,-24.7598,35.6322,-15.2686,7.5918,-14.7266,0.1169,-4.9247,-4.4343,0.5683,-7.1585,2.3529,-3.6845,0.3210
Marimba,médium,12,-23.3051,40.5086,-8.8167,14.9288,-7.3810,3.4483,-2.8461,-3.6522,0.7118,-6.8426,0.4412,-5.7191,-1.3637
Bass_Trombone,pédale,13,-4.2979,43.2155,-18.2587,12.6900,-12.6941,4.6663,-2.3056,-2.5897,3.6950,-5.7482,4.1457,-3.4898,1.6070
Contrabass_Flute,médium,12,5.1844,40.3410,-20.7326,18.0346,-17.4320,4.6688,-2.5221,-3.7033,4.9657,-6.4238,3.6566,-5.6182,0.4259
Trombone+sordina_wah,médium,24,-48.4379,33.2379,-5.2165,5.2116,-10.5900,0.3450,-1.5595,-1.5926,1.3351,-4.1590,1.3765,-2.3815,0.2042
Bass_Clarinet_Bb,aigu,47,-2.4612,43.6084,-23.1808,7.8968,-14.0051,2.9089,-3.4852,-4.1176,1.0945,-7.5988,1.6626,-6.9695,-1.7248
Bassoon+sordina,aigu,6,-17.8098,31.6609,-22.4552,8.1405,-18.2014,-1.0720,-5.5086,-4.2796,2.4777,-6.0520,4.8470,-1.7150,3.3267
Trombone,médium,36,-18.6271,39.6661,-14.8357,9.2543,-13.6617,1.3575,-4.2142,-4.8947,1.8822,-5.6995,2.0211,-4.3488,-0.3699
Violin_Ensemble+sordina,grave,6,-5.2687,37.5465,-21.9070,15.6526,-13.4203,1.7674,-4.1738,-5.5758,1.4127,-7.7157,1.7339,-5.5343,-0.5930
Horn+sordina,aigu,13,-46.0301,30.2403,-11.2870,3.3246,-12.8853,-1.9792,-3.0947,-3.2336,0.0796,-5.0880,1.6130,-0.8169,2.3500
Viola+sordina,médium,66,-26.1910,33.4091,-16.8106,9.6219,-11.1305,1.9428,-3.8401,-4.2073,1.4752,-6.1620,1.2280,-4.9703,-0.9697
Violoncello_Ensemble+sordina,aigu,12,-5.3200,36.1368,-21.7403,17.8153,-12.1081,3.1520,-3.0152,-3.5244,2.7580,-7.4886,2.6347,-5.3604,0.0550
Guitar,suraigu,6,-19.0552,33.5188,-18.2628,15.0682,-9.3836,4.3229,-1.0125,-1.1689,7.8519,0.5295,6.1338,-3.2642,-1.3308
Trombone,pédale,3,-22.4793,41.1949,-11.7464,8.5208,-11.8477,2.8388,-2.1332,-2.5751,3.3585,-3.9267,3.1686,-2.8410,1.0755
Harp,aigu,72,-29.7376,32.8445,-16.8564,9.1124,-9.0948,1.5612,-3.4326,-3.6002,1.9140,-4.0160,3.0437,-2.8524,0.7125
Flute,grave,66,-31.0014,32.7379,-16.1424,6.1027,-11.9222,2.2986,-3.6266,-5.0814,-0.7351,-7.1125,0.5517,-5.1918,-0.8905
Horn,aigu,39,-31.3654,34.2178,-17.0479,4.7167,-12.5045,-2.0164,-5.4591,-5.7417,-0.4750,-5.1944,2.6470,-1.3557,1.6220
Trombone+sordina_cup,grave,13,-44.4723,34.8288,-6.7910,4.9163,-10.2524,0.9808,-0.1518,0.8487,3.2793,-1.7785,3.9794,-1.4025,0.9039
Viola_Ensemble,médium,48,-5.3587,40.0560,-24.0648,10.7684,-11.3752,2.8144,-4.3132,-4.9313,0.9531,-7.4729,1.7873,-5.6644,-0.5825
Violoncello_Ensemble,aigu,48,-1.8762,38.0194,-24.0985,14.4026,-12.8224,4.6821,-3.3559,-4.5920,2.6356,-7.2424,3.1771,-5.0945,-0.1012
Viola,grave,27,-22.0775,37.1305,-17.9111,9.8109,-7.3479,3.4002,-2.7999,-3.0205,1.7651,-5.2656,2.0491,-3.5602,0.6894
Sax_Alto,grave,39,-22.1239,35.6719,-18.8374,7.4817,-11.5466,2.3602,-4.4304,-5.3583,0.7819,-6.5953,0.6311,-4.9564,0.0662
Violoncello+sordina,aigu,39,-15.3961,32.5180,-20.2465,14.9768,-11.2230,4.5986,-2.7588,-4.4712,1.4949,-6.4125,3.6248,-4.5852,0.1656
Clarinet_Eb,chalumeau,15,4.2414,40.0596,-27.5919,13.0586,-13.3980,4.0824,-2.7354,-3.0654,2.6658,-7.7392,2.8598,-5.6967,0.4871
Trombone,aigu,24,-14.2011,35.3785,-23.1659,5.8398,-17.9339,-0.0057,-5.7497,-6.3886,0.9708,-7.1354,2.0075,-4.5155,0.7348
Bassoon,aigu,18,-23.8161,31.1543,-21.0168,5.8843,-16.4684,-0.3638,-5.7288,-4.2616,2.0535,-5.4707,4.5082,-2.2705,3.1728
Trombone+sordina_cup,médium,12,-45.1702,33.3308,-8.8165,3.5182,-12.9056,-1.8182,-0.9654,-0.8105,2.2819,-2.6795,2.4908,-1.7989,-0.5368
Bass_Trombone,médium,39,2.4257,42.9231,-24.7952,10.4028,-15.0894,2.5492,-4.2725,-4.2828,2.6427,-7.1000,2.9515,-5.1545,0.1876
Clarinet_Bb,gorge,18,-30.1162,32.0419,-17.5540,6.7248,-11.0883,2.6152,-2.8123,-2.8740,1.0500,-8.1994,-1.2213,-6.4253,-1.5742
Bass_Trombone,grave,80,-0.6879,42.8723,-21.7581,12.3182,-12.9529,4.2281,-2.5153,-2.6047,4.0347,-5.4786,4.2384,-3.7746,1.5017
Contrabass_Flute,aigu,11,4.6698,34.6920,-26.2583,16.6406,-19.6256,4.0840,-3.4656,-4.9297,5.5804,-4.7774,6.2414,-2.6311,3.6012
