instrument_A,register_A,instrument_B,register_B,F1_A_hz,F1_B_hz,delta_F1_hz,Fp_A_hz,Fp_B_hz,delta_Fp_hz,Homogeneity_H,zone
Contrabass_Ensemble,grave,Violoncello+sordina_piombo,médium,161,161,0,1120,1087,33,0.889,/u/
Contrabass,grave,Violoncello+sordina_piombo,médium,161,161,0,1207,1087,120,0.887,/u/
Contrabass,médium,Violoncello+sordina_piombo,médium,161,161,0,1205,1087,118,0.887,/u/
Bass_Clarinet_Bb,grave,Contrabass+sordina,aigu,172,172,0,1257,1256,1,0.884,/u/
Bass_Clarinet_Bb,grave,Contrabass_Ensemble,médium,172,172,0,1257,1170,87,0.877,/u/
Vibraphone,grave,Viola_Ensemble,médium,312,312,0,1130,1339,209,0.877,/o/
Horn,médium,Viola,médium,322,322,0,1006,1315,309,0.874,/o/
Harp,aigu,Marimba,médium,322,322,0,987,1025,38,0.873,/o/
Bass_Clarinet_Bb,grave,Contrabass,aigu,172,172,0,1257,1252,5,0.871,/u/
Bass_Flute,grave,Contrabass+sordina,suraigu,258,258,0,1111,1308,197,0.871,/o/
Contrabass+sordina,grave,Marimba,grave,161,161,0,1149,1111,38,0.867,/u/
Contrabass+sordina,médium,Marimba,grave,161,161,0,1205,1111,94,0.867,/u/
Viola+sordina_piombo,suraigu,Viola_Ensemble,suraigu,861,861,0,947,1135,188,0.866,/e/–/i/
Contrabass_Ensemble,grave,Marimba,grave,161,161,0,1120,1111,9,0.864,/u/
Bass_Flute,médium,Horn+sordina,médium,312,312,0,1132,1161,29,0.862,/o/
Clarinet_Bb,chalumeau,Contrabass_Tuba,grave,215,215,0,1315,935,380,0.862,/u/
Clarinet_Bb,chalumeau,Contrabass_Tuba,médium,215,215,0,1315,964,351,0.862,/u/
Sax_Alto,grave,Viola,suraigu,355,355,0,1250,1090,160,0.861,/o/
Harp,suraigu,Viola_Ensemble+sordina,aigu,301,301,0,1231,1244,13,0.858,/o/
Harp,suraigu,Viola_Ensemble+sordina,suraigu,301,301,0,1231,1061,170,0.858,/o/
Clarinet_Bb,suraigu,Violin_Ensemble,suraigu,1152,1152,0,1331,1259,72,0.857,/e/–/i/
Bass_Tuba,grave,Clarinet_Bb,chalumeau,215,215,0,978,1315,337,0.856,/u/
Contrabass,grave,Marimba,grave,161,161,0,1207,1111,96,0.855,/u/
Contrabass,médium,Marimba,grave,161,161,0,1205,1111,94,0.855,/u/
Horn+sordina,grave,Viola+sordina,médium,322,322,0,1099,1151,52,0.851,/o/
Clarinet_Eb,chalumeau,Viola+sordina,médium,322,322,0,1462,1151,311,0.848,/o/
Clarinet_Bb,gorge,Violin+sordina,médium,355,355,0,1391,1175,216,0.847,/o/
Bass_Flute,médium,Trumpet_C+sordina_wah,médium,312,312,0,1132,1139,7,0.841,/o/
Clarinet_Eb,aigu,Violin+sordina_piombo,grave,75,75,0,1465,1311,154,0.840,/u/
Clarinet_Eb,aigu,Violin+sordina_piombo,médium,75,75,0,1465,1376,89,0.840,/u/
Clarinet_Eb,aigu,Violin+sordina_piombo,aigu,75,75,0,1465,1332,133,0.840,/u/
Clarinet_Eb,aigu,Violin+sordina_piombo,suraigu,75,75,0,1465,1318,147,0.840,/u/
Bass_Tuba,aigu,Viola_Ensemble+sordina,grave,279,279,0,1016,1214,198,0.836,/o/
Harp,aigu,Viola+sordina,médium,322,322,0,987,1151,164,0.832,/o/
Clarinet_Eb,médium,Trumpet_C+sordina_straight,suraigu,1496,1496,0,1417,1442,25,0.825,/e/–/i/
Horn,aigu,Violin_Ensemble,grave,484,484,0,1014,1295,281,0.824,/å/
Sax_Alto,grave,Viola_Ensemble,grave,355,355,0,1250,1304,54,0.824,/o/
Horn+sordina,médium,Viola_Ensemble,médium,312,312,0,1161,1339,178,0.820,/o/
Viola+sordina_piombo,médium,Viola_Ensemble+sordina,médium,290,290,0,1247,1261,14,0.818,/o/
Bass_Tuba,suraigu,Contrabass_Flute,médium,333,333,0,1042,1128,86,0.817,/o/
Clarinet_Eb,aigu,Contrabass_Clarinet_Bb,grave,75,75,0,1465,1245,220,0.808,/u/
Clarinet_Eb,aigu,Contrabass_Clarinet_Bb,médium,75,75,0,1465,1363,102,0.808,/u/
Bass_Tuba,suraigu,Viola+sordina,grave,333,333,0,1042,1141,99,0.806,/o/
Trumpet_C,aigu,Trumpet_C+sordina_harmon,aigu,462,462,0,1261,1259,2,0.798,/å/
Flute,médium,Trumpet_C+sordina_straight,suraigu,1496,1496,0,1412,1442,30,0.797,/e/–/i/
Flute,suraigu,Trumpet_C+sordina_straight,suraigu,1496,1496,0,1424,1442,18,0.797,/e/–/i/
Violin,grave,Violoncello_Ensemble,suraigu,462,462,0,1208,1224,16,0.793,/å/
Horn+sordina,grave,Viola,médium,322,322,0,1099,1315,216,0.784,/o/
Bass_Clarinet_Bb,aigu,Trumpet_C,grave,1281,1281,0,1278,1259,19,0.781,/e/–/i/
Bass_Clarinet_Bb,suraigu,Trumpet_C,grave,1281,1281,0,1341,1259,82,0.781,/e/–/i/
Clarinet_Bb,suraigu,Trumpet_C,médium,1152,1152,0,1331,1306,25,0.779,/e/–/i/
Clarinet_Bb,suraigu,Trumpet_C,suraigu,1152,1152,0,1331,1334,3,0.779,/e/–/i/
Clarinet_Eb,chalumeau,Marimba,médium,322,322,0,1462,1025,437,0.778,/o/
Trumpet_C+sordina_harmon,aigu,Violin,grave,462,462,0,1259,1208,51,0.775,/å/
Viola+sordina_piombo,aigu,Violoncello_Ensemble,médium,204,204,0,1126,1211,85,0.769,/u/
Trumpet_C+sordina_wah,médium,Vibraphone,grave,312,312,0,1139,1130,9,0.767,/o/
Harp,aigu,Viola,médium,322,322,0,987,1315,328,0.767,/o/
Viola+sordina_piombo,aigu,Violoncello_Ensemble+sordina,médium,204,204,0,1126,1180,54,0.761,/u/
Viola+sordina_piombo,aigu,Violoncello_Ensemble+sordina,suraigu,204,204,0,1126,1280,154,0.761,/u/
Bassoon+sordina,grave,Violin_Ensemble,grave,484,484,0,1047,1295,248,0.761,/å/
Clarinet_Eb,chalumeau,Horn,médium,322,322,0,1462,1006,456,0.759,/o/
Bassoon,bas_médium,Violin,suraigu,516,516,0,1152,1230,78,0.758,/å/
Bassoon,aigu,Violin,aigu,570,570,0,1099,1221,122,0.758,/a/
Clarinet_Eb,aigu,Trumpet_C+sordina_harmon,suraigu,75,75,0,1465,1363,102,0.751,/u/
Clarinet_Bb,gorge,Sax_Alto,grave,355,355,0,1391,1250,141,0.751,/o/
Contrabass_Tuba,aigu,Viola,aigu,398,398,0,999,1231,232,0.749,/o/
Clarinet_Eb,médium,Trumpet_C+sordina_cup,grave,1496,1496,0,1417,1619,202,0.745,/e/–/i/
Clarinet_Eb,médium,Trumpet_C+sordina_cup,médium,1496,1496,0,1417,1617,200,0.745,/e/–/i/
Clarinet_Eb,médium,Trumpet_C+sordina_cup,aigu,1496,1496,0,1417,1609,192,0.745,/e/–/i/
Clarinet_Eb,médium,Trumpet_C+sordina_cup,suraigu,1496,1496,0,1417,1636,219,0.745,/e/–/i/
Bass_Flute,aigu,Oboe+sordina,aigu,904,904,0,1110,1056,54,0.741,/e/–/i/
Bass_Tuba+sordina,grave,Violin,grave,462,462,0,1060,1208,148,0.739,/å/
Trumpet_C,aigu,Violoncello_Ensemble,suraigu,462,462,0,1261,1224,37,0.738,/å/
Bassoon+sordina,aigu,Violin,aigu,570,570,0,1079,1221,142,0.730,/a/
Horn+sordina,médium,Trumpet_C+sordina_wah,médium,312,312,0,1161,1139,22,0.730,/o/
Clarinet_Eb,aigu,Vibraphone,aigu,75,75,0,1465,1116,349,0.729,/u/
Clarinet_Bb,clarine,Oboe+sordina,grave,1464,1464,0,1426,1359,67,0.728,/e/–/i/
Bass_Flute,aigu,Oboe,aigu,904,904,0,1110,1176,66,0.714,/e/–/i/
Flute,médium,Trumpet_C+sordina_cup,grave,1496,1496,0,1412,1619,207,0.711,/e/–/i/
Flute,médium,Trumpet_C+sordina_cup,médium,1496,1496,0,1412,1617,205,0.711,/e/–/i/
Flute,médium,Trumpet_C+sordina_cup,aigu,1496,1496,0,1412,1609,197,0.711,/e/–/i/
Flute,médium,Trumpet_C+sordina_cup,suraigu,1496,1496,0,1412,1636,224,0.711,/e/–/i/
Flute,suraigu,Trumpet_C+sordina_cup,grave,1496,1496,0,1424,1619,195,0.711,/e/–/i/
Flute,suraigu,Trumpet_C+sordina_cup,médium,1496,1496,0,1424,1617,193,0.711,/e/–/i/
Flute,suraigu,Trumpet_C+sordina_cup,aigu,1496,1496,0,1424,1609,185,0.711,/e/–/i/
Flute,suraigu,Trumpet_C+sordina_cup,suraigu,1496,1496,0,1424,1636,212,0.711,/e/–/i/
Bass_Tuba+sordina,grave,Trumpet_C,aigu,462,462,0,1060,1261,201,0.691,/å/
Horn+sordina,pédale,Violin,suraigu,516,516,0,1038,1230,192,0.689,/å/
Contrabass_Tuba,aigu,Violin+sordina,grave,398,398,0,999,1234,235,0.688,/o/
Flute,aigu,Piccolo,grave,1033,1033,0,1291,1087,204,0.680,/e/–/i/
Contrabass_Clarinet_Bb,grave,Violin+sordina_piombo,grave,75,75,0,1245,1311,66,0.679,/u/
Contrabass_Clarinet_Bb,grave,Violin+sordina_piombo,médium,75,75,0,1245,1376,131,0.679,/u/
Contrabass_Clarinet_Bb,grave,Violin+sordina_piombo,aigu,75,75,0,1245,1332,87,0.679,/u/
Contrabass_Clarinet_Bb,grave,Violin+sordina_piombo,suraigu,75,75,0,1245,1318,73,0.679,/u/
Contrabass_Clarinet_Bb,médium,Violin+sordina_piombo,grave,75,75,0,1363,1311,52,0.679,/u/
Contrabass_Clarinet_Bb,médium,Violin+sordina_piombo,médium,75,75,0,1363,1376,13,0.679,/u/
Contrabass_Clarinet_Bb,médium,Violin+sordina_piombo,aigu,75,75,0,1363,1332,31,0.679,/u/
Contrabass_Clarinet_Bb,médium,Violin+sordina_piombo,suraigu,75,75,0,1363,1318,45,0.679,/u/
Harp,grave,Viola+sordina_piombo,aigu,204,204,0,952,1126,174,0.658,/u/
Clarinet_Eb,chalumeau,Horn+sordina,grave,322,322,0,1462,1099,363,0.646,/o/
Clarinet_Eb,chalumeau,Harp,aigu,322,322,0,1462,987,475,0.644,/o/
Trombone+sordina_wah,grave,Trumpet_C+sordina_straight,aigu,473,473,0,1034,1361,327,0.644,/å/
Bass_Tuba,médium,Viola+sordina_piombo,aigu,204,204,0,1001,1126,125,0.631,/u/
Vibraphone,aigu,Violin+sordina_piombo,grave,75,75,0,1116,1311,195,0.617,/u/
Vibraphone,aigu,Violin+sordina_piombo,médium,75,75,0,1116,1376,260,0.617,/u/
Vibraphone,aigu,Violin+sordina_piombo,aigu,75,75,0,1116,1332,216,0.617,/u/
Vibraphone,aigu,Violin+sordina_piombo,suraigu,75,75,0,1116,1318,202,0.617,/u/
Trumpet_C+sordina_harmon,médium,Viola_Ensemble+sordina,aigu,301,301,0,1353,1244,109,0.613,/o/
Trumpet_C+sordina_harmon,médium,Viola_Ensemble+sordina,suraigu,301,301,0,1353,1061,292,0.613,/o/
Contrabass_Clarinet_Bb,grave,Trumpet_C+sordina_harmon,suraigu,75,75,0,1245,1363,118,0.584,/u/
Contrabass_Clarinet_Bb,médium,Trumpet_C+sordina_harmon,suraigu,75,75,0,1363,1363,0,0.584,/u/
Bass_Clarinet_Bb,médium,Trumpet_C+sordina_harmon,grave,183,183,0,1270,1287,17,0.581,/u/
Trombone+sordina_harmon,médium,Trumpet_C+sordina_harmon,grave,183,183,0,1075,1287,212,0.577,/u/
Bass_Tuba+sordina,médium,Trumpet_C+sordina_straight,aigu,473,473,0,1077,1361,284,0.566,/å/
Trumpet_C+sordina_harmon,aigu,Violoncello_Ensemble,suraigu,462,462,0,1259,1224,35,0.550,/å/
Trumpet_C+sordina_harmon,suraigu,Vibraphone,aigu,75,75,0,1363,1116,247,0.528,/u/
Trumpet_C+sordina_harmon,grave,Violoncello+sordina,grave,183,183,0,1287,1225,62,0.521,/u/
Guitar,grave,Trumpet_C+sordina_harmon,grave,183,183,0,1036,1287,251,0.493,/u/
Guitar,aigu,Trumpet_C+sordina_harmon,grave,183,183,0,1042,1287,245,0.493,/u/
Bass_Tuba+sordina,grave,Trumpet_C+sordina_harmon,aigu,462,462,0,1060,1259,199,0.480,/å/
Harp,suraigu,Trumpet_C+sordina_harmon,médium,301,301,0,1231,1353,122,0.412,/o/
Bass_Tuba+sordina,aigu,Bassoon+sordina,haut_médium,549,559,10,1080,1089,9,0.996,/a/
Guitar,grave,Violoncello+sordina,médium,183,193,10,1036,1226,190,0.990,/u/
Guitar,aigu,Violoncello+sordina,médium,183,193,10,1042,1226,184,0.990,/u/
Bassoon,bas_médium,Bassoon+sordina,bas_médium,516,506,10,1152,1141,11,0.988,/å/
Trombone,médium,Trombone+sordina_wah,médium,602,592,10,1008,1082,74,0.983,/a/
