instrument,register,n_samples,mean_centroid_hz,mean_spread_hz,V1_spread_centroid,V2_energy_1khz,V3_inv_formant_disp,V4_mfcc1,V1_z,V2_z,V3_z,V4_z,Volume_index,Density_index
English_Horn,grave,28,1563.0,1890.2,1.2121,0.4542,,40.78,-0.463,-0.768,0.000,0.980,-0.084,0.084
Bass_Flute,aigu,15,3372.8,3642.7,1.2130,0.7658,,32.79,-0.461,0.192,0.000,0.007,-0.087,0.087
Clarinet_Bb,clarine,42,1501.9,1977.7,1.3880,0.8196,,28.28,-0.148,0.357,0.000,-0.542,-0.111,0.111
Violoncello_Ensemble+sordina,suraigu,6,3229.4,3231.4,1.0087,0.8621,,32.56,-0.826,0.488,0.000,-0.021,-0.120,0.120
Viola_Ensemble+sordina,aigu,12,3002.7,3132.4,1.0669,0.9062,,30.53,-0.722,0.624,0.000,-0.267,-0.122,0.122
Violin+sordina,médium,78,2784.4,3125.3,1.1465,0.8679,,29.22,-0.580,0.506,0.000,-0.427,-0.167,0.167
Trombone+sordina_cup,aigu,6,1289.6,1646.5,1.2803,0.7405,,30.40,-0.341,0.114,0.000,-0.284,-0.170,0.170
Clarinet_Eb,médium,12,1733.8,1769.0,1.1108,0.7551,,31.51,-0.644,0.159,0.000,-0.149,-0.211,0.211
Trumpet_C+sordina_wah,médium,16,1787.8,2282.6,1.2793,0.6862,,30.10,-0.343,-0.054,0.000,-0.320,-0.239,0.239
Violoncello_Ensemble,suraigu,23,2731.4,2815.8,1.0369,0.6735,,33.84,-0.776,-0.092,0.000,0.135,-0.244,0.244
Violin,médium,81,2715.3,2824.5,1.0533,0.7456,,31.06,-0.746,0.129,0.000,-0.203,-0.273,0.273
Vibraphone,aigu,6,979.5,1057.7,1.1681,0.6668,,31.09,-0.541,-0.113,0.000,-0.200,-0.285,0.285
Trombone+sordina_harmon,aigu,6,2342.9,3008.5,1.3195,0.7168,,27.38,-0.271,0.041,0.000,-0.651,-0.294,0.294
Oboe+sordina,grave,10,1434.8,1529.1,1.0714,0.3882,,39.27,-0.714,-0.971,0.000,0.796,-0.296,0.296
Trumpet_C,grave,17,2518.4,2338.5,1.0893,0.5346,,34.63,-0.682,-0.520,0.000,0.231,-0.324,0.324
English_Horn,médium,48,1490.1,1704.9,1.1546,0.4454,,35.21,-0.565,-0.795,0.000,0.301,-0.353,0.353
Viola_Ensemble,aigu,48,2495.1,2462.3,0.9926,0.6428,,32.20,-0.855,-0.187,0.000,-0.064,-0.369,0.369
Violoncello+sordina,suraigu,42,3520.3,4004.4,1.1739,0.7103,,27.43,-0.531,0.021,0.000,-0.645,-0.385,0.385
Viola+sordina_piombo,médium,11,4246.6,4669.5,1.1159,0.8135,,24.76,-0.635,0.338,0.000,-0.970,-0.422,0.422
Viola+sordina,aigu,51,2799.2,3556.0,1.3057,0.6446,,25.97,-0.295,-0.182,0.000,-0.822,-0.433,0.433
English_Horn,aigu,28,1925.0,2008.4,1.0502,0.7045,,27.85,-0.752,0.003,0.000,-0.593,-0.448,0.448
Bass_Clarinet_Bb,suraigu,49,1547.4,1474.9,0.9500,0.6339,,30.98,-0.931,-0.214,0.000,-0.214,-0.453,0.453
Sax_Alto,médium,33,2046.7,2231.8,1.1520,0.6761,,25.80,-0.570,-0.085,0.000,-0.843,-0.499,0.499
Oboe,grave,30,1646.3,1712.2,1.0406,0.2721,,37.59,-0.769,-1.328,0.000,0.591,-0.502,0.502
Trumpet_C,médium,24,2467.2,2414.1,1.1004,0.4591,,31.64,-0.662,-0.753,0.000,-0.133,-0.516,0.516
Viola,aigu,120,2551.2,2765.9,1.0992,0.5683,,28.79,-0.665,-0.417,0.000,-0.479,-0.520,0.520
Violin+sordina_piombo,grave,11,4100.1,4639.9,1.1440,0.5538,,27.82,-0.584,-0.461,0.000,-0.597,-0.548,0.548
Marimba,aigu,26,1265.6,1218.2,1.0544,0.4956,0.002609,33.14,-0.744,-0.640,-1.000,0.050,-0.584,0.584
Violin_Ensemble+sordina,aigu,12,3949.8,3445.4,0.8899,0.7048,,26.08,-1.039,0.004,0.000,-0.810,-0.615,0.615
Violoncello+sordina_piombo,suraigu,28,4822.0,4636.5,0.9885,0.6448,,25.15,-0.862,-0.181,0.000,-0.923,-0.655,0.655
Trumpet_C+sordina_wah,aigu,10,2272.0,2428.7,1.1284,0.5208,,25.07,-0.612,-0.563,0.000,-0.932,-0.702,0.702
Violoncello,suraigu,66,3210.2,3410.7,1.0854,0.4192,,28.24,-0.689,-0.875,0.000,-0.547,-0.704,0.704
Oboe+sordina,médium,12,1696.2,1895.2,1.1185,0.2828,,30.83,-0.630,-1.296,0.000,-0.231,-0.719,0.719
Trumpet_C,aigu,15,2678.3,2485.8,1.0499,0.4402,,27.25,-0.753,-0.811,0.000,-0.667,-0.744,0.744
Oboe+sordina,aigu,7,1951.0,2294.0,1.1919,0.4680,,24.25,-0.499,-0.725,0.000,-1.032,-0.752,0.752
Oboe,médium,36,1908.6,2140.4,1.1177,0.2404,,28.97,-0.631,-1.426,0.000,-0.458,-0.838,0.838
Viola+sordina_piombo,aigu,35,5443.1,5171.4,0.9565,0.6505,,20.63,-0.919,-0.163,0.000,-1.473,-0.852,0.852
Violin_Ensemble,aigu,48,3276.1,2808.9,0.8564,0.4263,,26.92,-1.098,-0.854,0.000,-0.707,-0.886,0.886
Viola+sordina,suraigu,18,3596.3,3984.1,1.1231,0.4718,,21.68,-0.622,-0.714,0.000,-1.345,-0.894,0.894
Violin+sordina,aigu,74,4416.6,3974.4,0.9130,0.4995,,23.04,-0.997,-0.628,0.000,-1.179,-0.935,0.935
Viola_Ensemble,suraigu,24,3096.4,2779.5,0.8987,0.3390,,27.04,-1.023,-1.122,0.000,-0.692,-0.946,0.946
Violin,aigu,111,3803.8,3457.4,0.9186,0.3800,,25.18,-0.987,-0.996,0.000,-0.919,-0.967,0.967
