instrument_A,register_A,instrument_B,register_B,F1_A_hz,F1_B_hz,delta_F1_hz,Fp_A_hz,Fp_B_hz,delta_Fp_hz,Homogeneity_H,fusion_score,category
Contrabass_Clarinet_Bb,médium,Violoncello+sordina_piombo,médium,75,161,86,1363,1087,276,0.989,0.778,SEMI-FONDU_H
Bass_Trombone,médium,Trombone+sordina_wah,médium,872,592,280,1123,1082,41,0.927,0.778,FONDU_Fp
Clarinet_Eb,médium,Trumpet_C+sordina_cup,médium,1496,1496,0,1417,1617,200,0.745,0.778,SEMI-FONDU
Oboe,médium,Trumpet_C+sordina_cup,médium,1399,1496,97,1434,1617,183,0.863,0.777,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Viola,médium,75,322,247,1363,1315,48,0.886,0.777,FONDU_Fp
Bass_Tuba+sordina,médium,Violin+sordina,médium,473,355,118,1077,1175,98,0.764,0.776,HÉTÉROGÈNE
Trombone+sordina_harmon,médium,Violin+sordina,médium,183,355,172,1075,1175,100,0.847,0.776,SEMI-FONDU_H
Flute,médium,Piccolo,médium,1496,1431,65,1412,1508,96,0.680,0.776,HÉTÉROGÈNE
Bass_Flute,médium,Contrabass_Tuba,médium,312,215,97,1132,964,168,0.836,0.775,SEMI-FONDU_H
Oboe+sordina,médium,Piccolo,médium,1324,1431,107,1364,1508,144,0.815,0.775,SEMI-FONDU_H
Violin,médium,Violoncello_Ensemble+sordina,médium,366,204,162,1111,1180,69,0.784,0.775,HÉTÉROGÈNE
Clarinet_Bb,chalumeau,Violin_Ensemble+sordina,médium,215,344,129,1315,1140,175,0.893,0.775,SEMI-FONDU_H
Bass_Tuba,médium,Contrabass_Flute,médium,204,333,129,1001,1128,127,0.817,0.773,SEMI-FONDU_H
Clarinet_Bb,chalumeau,Trumpet_C+sordina_wah,médium,215,312,97,1315,1139,176,0.843,0.773,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Trumpet_C+sordina_wah,médium,473,312,161,1077,1139,62,0.767,0.773,HÉTÉROGÈNE
Contrabass_Ensemble,médium,Violin+sordina,médium,172,355,183,1170,1175,5,0.714,0.773,HÉTÉROGÈNE
Horn,médium,Trombone+sordina_wah,médium,322,592,270,1006,1082,76,0.950,0.772,SEMI-FONDU_H
Bassoon+sordina,grave,Trombone+sordina_harmon,médium,484,183,301,1047,1075,28,0.922,0.771,FONDU_Fp
Contrabass+sordina,médium,Viola+sordina_piombo,médium,161,290,129,1205,1247,42,0.684,0.771,HÉTÉROGÈNE
Clarinet_Bb,chalumeau,Violin+sordina,médium,215,355,140,1315,1175,140,0.847,0.771,SEMI-FONDU_H
Contrabass_Ensemble,médium,Horn,médium,172,322,150,1170,1006,164,0.898,0.771,SEMI-FONDU_H
Trombone+sordina_wah,médium,Violin,médium,592,366,226,1082,1111,29,0.809,0.771,FONDU_Fp
Trombone+sordina_wah,médium,Violin_Ensemble+sordina,médium,592,344,248,1082,1140,58,0.885,0.770,SEMI-FONDU_H
Contrabass+sordina,médium,Violin_Ensemble,médium,161,344,183,1205,1225,20,0.727,0.769,HÉTÉROGÈNE
Contrabass_Ensemble,médium,Marimba,médium,172,322,150,1170,1025,145,0.864,0.769,SEMI-FONDU_H
Trombone+sordina_cup,médium,Trombone+sordina_straight,médium,915,592,323,992,979,13,0.924,0.768,FONDU_Fp
Horn,médium,Violoncello+sordina,médium,322,193,129,1006,1226,220,0.944,0.768,SEMI-FONDU_H
Marimba,médium,Viola+sordina_piombo,médium,322,290,32,1025,1247,222,0.800,0.768,SEMI-FONDU
Bass_Tuba,médium,Bass_Tuba+sordina,médium,204,473,269,1001,1077,76,0.935,0.767,SEMI-FONDU_H
Marimba,médium,Violoncello+sordina,médium,322,193,129,1025,1226,201,0.912,0.767,SEMI-FONDU_H
Guitar,médium,Viola_Ensemble+sordina,médium,215,290,75,1002,1261,259,0.917,0.766,SEMI-FONDU
Violin,médium,Violoncello,médium,366,193,173,1111,1202,91,0.811,0.766,SEMI-FONDU_H
Violin+sordina,médium,Violoncello+sordina_piombo,médium,355,161,194,1175,1087,88,0.837,0.766,SEMI-FONDU_H
Contrabass,médium,Viola+sordina_piombo,médium,161,290,129,1205,1247,42,0.670,0.766,HÉTÉROGÈNE
Bass_Tuba+sordina,médium,Violoncello_Ensemble+sordina,médium,473,204,269,1077,1180,103,0.972,0.765,SEMI-FONDU_H
Guitar,médium,Trumpet_C+sordina_wah,médium,215,312,97,1002,1139,137,0.764,0.765,HÉTÉROGÈNE
Guitar,médium,Violin_Ensemble+sordina,médium,215,344,129,1002,1140,138,0.813,0.765,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Bass_Tuba,médium,183,204,21,1270,1001,269,0.846,0.764,FONDU
Horn,médium,Viola,médium,322,322,0,1006,1315,309,0.874,0.764,FONDU
Trumpet_C+sordina_harmon,médium,Violin+sordina,médium,301,355,54,1353,1175,178,0.758,0.764,SEMI-FONDU
Contrabass,médium,Violin_Ensemble,médium,161,344,183,1205,1225,20,0.714,0.764,HÉTÉROGÈNE
Contrebasson,médium,Violin+sordina,médium,226,355,129,1078,1175,97,0.748,0.764,HÉTÉROGÈNE
Bassoon+sordina,grave,Contrabass_Tuba,médium,484,215,269,1047,964,83,0.935,0.763,SEMI-FONDU_H
Bassoon,grave,Viola_Ensemble+sordina,médium,506,290,216,1127,1261,134,0.931,0.762,SEMI-FONDU_H
Contrabass_Flute,médium,Contrabass_Tuba,médium,333,215,118,1128,964,164,0.827,0.762,SEMI-FONDU_H
Bass_Tuba,médium,Viola+sordina,médium,204,322,118,1001,1151,150,0.806,0.761,SEMI-FONDU_H
Flute,médium,Trumpet_C+sordina_cup,médium,1496,1496,0,1412,1617,205,0.711,0.761,SEMI-FONDU
Sax_Alto,médium,Viola,médium,613,322,291,1331,1315,16,0.861,0.760,FONDU_Fp
Harp,médium,Viola_Ensemble+sordina,médium,193,290,97,1053,1261,208,0.858,0.760,SEMI-FONDU_H
Harp,médium,Trumpet_C+sordina_wah,médium,193,312,119,1053,1139,86,0.708,0.760,HÉTÉROGÈNE
Violin,médium,Violoncello_Ensemble,médium,366,204,162,1111,1211,100,0.793,0.760,HÉTÉROGÈNE
Bassoon,grave,Violin_Ensemble,médium,506,344,162,1127,1225,98,0.789,0.760,HÉTÉROGÈNE
Bassoon,grave,Violoncello_Ensemble,médium,506,204,302,1127,1211,84,0.977,0.759,SEMI-FONDU_H
Trombone+sordina_wah,médium,Vibraphone,grave,592,312,280,1082,1130,48,0.890,0.759,FONDU_Fp
Contrabass+sordina,médium,Violin_Ensemble+sordina,médium,161,344,183,1205,1140,65,0.769,0.759,HÉTÉROGÈNE
Horn,médium,Viola_Ensemble,médium,322,312,10,1006,1339,333,0.911,0.758,FONDU
Contrabass_Flute,médium,Trombone,médium,333,602,269,1128,1008,120,0.979,0.758,SEMI-FONDU_H
Contrabass+sordina,médium,Violin+sordina,médium,161,355,194,1205,1175,30,0.728,0.757,HÉTÉROGÈNE
Bass_Clarinet_Bb,médium,Marimba,médium,183,322,139,1270,1025,245,0.966,0.756,SEMI-FONDU_H
Contrabass+sordina,médium,Viola_Ensemble,médium,161,312,151,1205,1339,134,0.816,0.755,SEMI-FONDU_H
Clarinet_Bb,chalumeau,Trumpet_C+sordina_harmon,médium,215,301,86,1315,1353,38,0.574,0.755,HÉTÉROGÈNE
Harp,médium,Violin_Ensemble+sordina,médium,193,344,151,1053,1140,87,0.744,0.755,HÉTÉROGÈNE
Trombone+sordina_harmon,médium,Viola+sordina_piombo,médium,183,290,107,1075,1247,172,0.804,0.754,SEMI-FONDU_H
Trombone+sordina_harmon,médium,Violin_Ensemble,médium,183,344,161,1075,1225,150,0.852,0.754,SEMI-FONDU_H
Contrabass+sordina,médium,Trumpet_C+sordina_wah,médium,161,312,151,1205,1139,66,0.709,0.753,HÉTÉROGÈNE
Trumpet_C+sordina_harmon,médium,Trumpet_C+sordina_wah,médium,301,312,11,1353,1139,214,0.721,0.753,SEMI-FONDU
Contrabass,médium,Violin_Ensemble+sordina,médium,161,344,183,1205,1140,65,0.755,0.753,HÉTÉROGÈNE
Bassoon+sordina,grave,Violoncello+sordina_piombo,médium,484,161,323,1047,1087,40,0.927,0.753,FONDU_Fp
Bass_Trombone,médium,Trombone,médium,872,602,270,1123,1008,115,0.958,0.752,SEMI-FONDU_H
Clarinet_Bb,chalumeau,Violin+sordina_piombo,médium,215,75,140,1315,1376,61,0.680,0.752,HÉTÉROGÈNE
Contrabass,médium,Violin+sordina,médium,161,355,194,1205,1175,30,0.714,0.751,HÉTÉROGÈNE
Bass_Tuba+sordina,médium,Contrabass_Tuba,médium,473,215,258,1077,964,113,0.934,0.751,SEMI-FONDU_H
Clarinet_Bb,chalumeau,Marimba,médium,215,322,107,1315,1025,290,0.973,0.751,SEMI-FONDU_H
Contrabass_Ensemble,médium,Viola+sordina_piombo,médium,172,290,118,1170,1247,77,0.669,0.751,HÉTÉROGÈNE
Bassoon,grave,Violoncello,médium,506,193,313,1127,1202,75,0.959,0.751,SEMI-FONDU_H
Contrabass,médium,Viola_Ensemble,médium,161,312,151,1205,1339,134,0.804,0.751,SEMI-FONDU_H
Contrabass_Ensemble,médium,Violin_Ensemble,médium,172,344,172,1170,1225,55,0.715,0.750,HÉTÉROGÈNE
Contrabass_Tuba,médium,Viola+sordina,médium,215,322,107,964,1151,187,0.815,0.750,SEMI-FONDU_H
Contrabass,médium,Trumpet_C+sordina_wah,médium,161,312,151,1205,1139,66,0.699,0.749,HÉTÉROGÈNE
Bassoon,grave,Trombone+sordina_harmon,médium,506,183,323,1127,1075,52,0.935,0.749,SEMI-FONDU_H
Contrabass+sordina,médium,Viola,médium,161,322,161,1205,1315,110,0.779,0.749,HÉTÉROGÈNE
Bassoon+sordina,grave,Violin+sordina,médium,484,355,129,1047,1175,128,0.756,0.748,HÉTÉROGÈNE
Viola+sordina_piombo,médium,Violin+sordina_piombo,médium,290,75,215,1247,1376,129,0.886,0.748,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Violin+sordina_piombo,médium,183,75,108,1270,1376,106,0.690,0.748,HÉTÉROGÈNE
Contrabass_Clarinet_Bb,médium,Trombone+sordina_harmon,médium,75,183,108,1363,1075,288,0.963,0.748,SEMI-FONDU_H
Bass_Tuba,médium,Clarinet_Bb,chalumeau,204,215,11,1001,1315,314,0.856,0.747,FONDU
Bass_Tuba+sordina,médium,Viola_Ensemble+sordina,médium,473,290,183,1077,1261,184,0.917,0.747,SEMI-FONDU_H
Bassoon+sordina,grave,Trumpet_C+sordina_wah,médium,484,312,172,1047,1139,92,0.763,0.747,HÉTÉROGÈNE
Bassoon,grave,Violoncello+sordina_piombo,médium,506,161,345,1127,1087,40,0.944,0.747,FONDU_Fp
Bassoon,grave,Contrabass_Ensemble,médium,506,172,334,1127,1170,43,0.929,0.746,FONDU_Fp
Bass_Tuba+sordina,médium,Violoncello_Ensemble,médium,473,204,269,1077,1211,134,0.968,0.745,SEMI-FONDU_H
Oboe,médium,Trumpet_C,médium,1399,1152,247,1434,1306,128,0.925,0.745,SEMI-FONDU_H
Sax_Alto,médium,Viola_Ensemble,médium,613,312,301,1331,1339,8,0.824,0.744,FONDU_Fp
Contrabass,médium,Viola,médium,161,322,161,1205,1315,110,0.767,0.744,HÉTÉROGÈNE
Trombone,médium,Viola+sordina,médium,602,322,280,1008,1151,143,0.994,0.744,SEMI-FONDU_H
Viola+sordina_piombo,médium,Violoncello+sordina_piombo,médium,290,161,129,1247,1087,160,0.793,0.744,HÉTÉROGÈNE
Horn,médium,Viola+sordina_piombo,médium,322,290,32,1006,1247,241,0.768,0.743,SEMI-FONDU
Bassoon,grave,Harp,médium,506,193,313,1127,1053,74,0.939,0.743,SEMI-FONDU_H
Contrabass+sordina,médium,Horn,médium,161,322,161,1205,1006,199,0.897,0.743,SEMI-FONDU_H
Guitar,médium,Violin,médium,215,366,151,1002,1111,109,0.747,0.743,HÉTÉROGÈNE
Bass_Clarinet_Bb,médium,Horn,médium,183,322,139,1270,1006,264,0.961,0.743,SEMI-FONDU_H
Contrabass+sordina,médium,Marimba,médium,161,322,161,1205,1025,180,0.867,0.742,SEMI-FONDU_H
Bassoon,grave,Violoncello+sordina,médium,506,193,313,1127,1226,99,0.973,0.742,SEMI-FONDU_H
Contrebasson,médium,Violin_Ensemble,médium,226,344,118,1078,1225,147,0.751,0.741,HÉTÉROGÈNE
Violin_Ensemble,médium,Violoncello+sordina_piombo,médium,344,161,183,1225,1087,138,0.834,0.741,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Violin_Ensemble,médium,473,344,129,1077,1225,148,0.768,0.741,HÉTÉROGÈNE
Contrebasson,médium,Viola+sordina_piombo,médium,226,290,64,1078,1247,169,0.702,0.741,SEMI-FONDU
Horn+sordina,médium,Trombone+sordina_wah,médium,312,592,280,1161,1082,79,0.891,0.741,SEMI-FONDU_H
Bassoon,grave,Guitar,médium,506,215,291,1127,1002,125,0.975,0.740,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Contrabass_Ensemble,médium,473,172,301,1077,1170,93,0.940,0.740,SEMI-FONDU_H
Trombone+sordina_harmon,médium,Viola_Ensemble,médium,183,312,129,1075,1339,264,0.938,0.739,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Contrabass_Tuba,médium,183,215,32,1270,964,306,0.854,0.739,SEMI-FONDU
Trombone,médium,Violin,médium,602,366,236,1008,1111,103,0.855,0.739,SEMI-FONDU_H
Trombone+sordina_wah,médium,Trumpet_C+sordina_wah,médium,592,312,280,1082,1139,57,0.852,0.739,SEMI-FONDU_H
Clarinet_Bb,chalumeau,Horn,médium,215,322,107,1315,1006,309,0.971,0.739,SEMI-FONDU_H
Contrabass,médium,Horn,médium,161,322,161,1205,1006,199,0.887,0.739,SEMI-FONDU_H
Trombone,médium,Violin_Ensemble+sordina,médium,602,344,258,1008,1140,132,0.931,0.738,SEMI-FONDU_H
Trombone+sordina_harmon,médium,Trombone+sordina_wah,médium,183,592,409,1075,1082,7,0.968,0.738,FONDU_Fp
Sax_Alto,médium,Viola+sordina_piombo,médium,613,290,323,1331,1247,84,0.955,0.738,SEMI-FONDU_H
Contrabass_Ensemble,médium,Viola_Ensemble,médium,172,312,140,1170,1339,169,0.808,0.738,SEMI-FONDU_H
Bass_Flute,médium,Trombone,médium,312,602,290,1132,1008,124,0.965,0.738,SEMI-FONDU_H
Contrabass,médium,Marimba,médium,161,322,161,1205,1025,180,0.855,0.737,SEMI-FONDU_H
Bassoon+sordina,grave,Violoncello_Ensemble+sordina,médium,484,204,280,1047,1180,133,0.962,0.737,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Violoncello,médium,473,193,280,1077,1202,125,0.949,0.737,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Violoncello+sordina,médium,473,193,280,1077,1226,149,0.981,0.735,SEMI-FONDU_H
Viola_Ensemble,médium,Violin+sordina_piombo,médium,312,75,237,1339,1376,37,0.748,0.735,HÉTÉROGÈNE
Sax_Alto,médium,Violin_Ensemble,médium,613,344,269,1331,1225,106,0.900,0.735,SEMI-FONDU_H
Trombone+sordina_wah,médium,Violin+sordina,médium,592,355,237,1082,1175,93,0.832,0.735,SEMI-FONDU_H
Clarinet_Bb,chalumeau,Contrabass_Tuba,médium,215,215,0,1315,964,351,0.862,0.734,FONDU
Trombone+sordina_cup,médium,Trombone+sordina_wah,médium,915,592,323,992,1082,90,0.953,0.733,SEMI-FONDU_H
English_Horn,médium,Trombone+sordina_cup,médium,1065,915,150,1186,992,194,0.849,0.733,SEMI-FONDU_H
Contrabass_Flute,médium,Trombone+sordina_straight,médium,333,592,259,1128,979,149,0.944,0.733,SEMI-FONDU_H
Trombone+sordina_harmon,médium,Viola,médium,183,322,139,1075,1315,240,0.900,0.732,SEMI-FONDU_H
Harp,médium,Violin,médium,193,366,173,1053,1111,58,0.676,0.732,HÉTÉROGÈNE
Contrabass_Ensemble,médium,Viola,médium,172,322,150,1170,1315,145,0.771,0.731,HÉTÉROGÈNE
Violin,médium,Violoncello+sordina,médium,366,193,173,1111,1226,115,0.759,0.731,HÉTÉROGÈNE
Guitar,médium,Trombone+sordina_straight,médium,215,592,377,1002,979,23,0.926,0.730,FONDU_Fp
Contrebasson,médium,Trombone+sordina_wah,médium,226,592,366,1078,1082,4,0.877,0.729,FONDU_Fp
Viola,médium,Violin+sordina_piombo,médium,322,75,247,1315,1376,61,0.783,0.728,HÉTÉROGÈNE
Sax_Alto,médium,Trombone+sordina_wah,médium,613,592,21,1331,1082,249,0.725,0.728,SEMI-FONDU
Contrebasson,médium,Viola_Ensemble,médium,226,312,86,1078,1339,261,0.840,0.728,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Violin,médium,183,366,183,1270,1111,159,0.832,0.727,SEMI-FONDU_H
Trumpet_C+sordina_harmon,médium,Violin_Ensemble+sordina,médium,301,344,43,1353,1140,213,0.701,0.727,SEMI-FONDU
Bass_Tuba,médium,Viola_Ensemble+sordina,médium,204,290,86,1001,1261,260,0.836,0.727,SEMI-FONDU_H
Trumpet_C+sordina_harmon,médium,Violin,médium,301,366,65,1353,1111,242,0.775,0.726,SEMI-FONDU
Viola_Ensemble,médium,Violoncello+sordina_piombo,médium,312,161,151,1339,1087,252,0.917,0.725,SEMI-FONDU_H
Bass_Trombone,médium,Bassoon,grave,872,506,366,1123,1127,4,0.867,0.725,FONDU_Fp
Contrabass_Ensemble,médium,Violin,médium,172,366,194,1170,1111,59,0.690,0.724,HÉTÉROGÈNE
Bass_Tuba,médium,Trumpet_C+sordina_wah,médium,204,312,108,1001,1139,138,0.675,0.722,HÉTÉROGÈNE
Bass_Flute,médium,Trombone+sordina_straight,médium,312,592,280,1132,979,153,0.955,0.722,SEMI-FONDU_H
Guitar,médium,Trombone,médium,215,602,387,1002,1008,6,0.894,0.722,FONDU_Fp
Contrebasson,médium,Viola,médium,226,322,96,1078,1315,237,0.803,0.721,SEMI-FONDU_H
Guitar,médium,Violin+sordina,médium,215,355,140,1002,1175,173,0.770,0.720,HÉTÉROGÈNE
Bass_Tuba,médium,Violin_Ensemble+sordina,médium,204,344,140,1001,1140,139,0.716,0.719,HÉTÉROGÈNE
Bassoon+sordina,grave,Viola_Ensemble+sordina,médium,484,290,194,1047,1261,214,0.910,0.719,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Viola+sordina_piombo,médium,75,290,215,1363,1247,116,0.793,0.719,HÉTÉROGÈNE
Trumpet_C+sordina_harmon,médium,Viola+sordina,médium,301,322,21,1353,1151,202,0.630,0.718,CONVERGENT
Clarinet_Bb,chalumeau,Violin,médium,215,366,151,1315,1111,204,0.827,0.718,SEMI-FONDU_H
Bassoon,grave,Contrabass+sordina,médium,506,161,345,1127,1205,78,0.929,0.718,SEMI-FONDU_H
Viola,médium,Violoncello+sordina_piombo,médium,322,161,161,1315,1087,228,0.878,0.718,SEMI-FONDU_H
Sax_Alto,médium,Trumpet_C+sordina_harmon,médium,613,301,312,1331,1353,22,0.795,0.718,HÉTÉROGÈNE
Bassoon+sordina,grave,Violoncello_Ensemble,médium,484,204,280,1047,1211,164,0.959,0.717,SEMI-FONDU_H
Sax_Alto,médium,Violin+sordina,médium,613,355,258,1331,1175,156,0.911,0.716,SEMI-FONDU_H
Contrabass_Tuba,médium,Viola_Ensemble+sordina,médium,215,290,75,964,1261,297,0.845,0.715,SEMI-FONDU
Bassoon+sordina,grave,Contrabass_Ensemble,médium,484,172,312,1047,1170,123,0.938,0.714,SEMI-FONDU_H
Bassoon,grave,Contrabass,médium,506,161,345,1127,1205,78,0.918,0.714,SEMI-FONDU_H
Bassoon+sordina,grave,Violin_Ensemble,médium,484,344,140,1047,1225,178,0.761,0.714,HÉTÉROGÈNE
Contrabass_Tuba,médium,Trombone+sordina_straight,médium,215,592,377,964,979,15,0.871,0.713,FONDU_Fp
Bassoon,grave,Viola,médium,506,322,184,1127,1315,188,0.841,0.713,SEMI-FONDU_H
Trombone+sordina_straight,médium,Viola+sordina,médium,592,322,270,979,1151,172,0.945,0.713,SEMI-FONDU_H
Trombone,médium,Vibraphone,grave,602,312,290,1008,1130,122,0.899,0.712,SEMI-FONDU_H
Contrabass_Tuba,médium,Trumpet_C+sordina_wah,médium,215,312,97,964,1139,175,0.688,0.712,HÉTÉROGÈNE
Bass_Tuba+sordina,médium,Contrabass+sordina,médium,473,161,312,1077,1205,128,0.940,0.712,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Trumpet_C+sordina_harmon,médium,183,301,118,1270,1353,83,0.581,0.712,HÉTÉROGÈNE
Bass_Tuba,médium,Bassoon,grave,204,506,302,1001,1127,126,0.920,0.711,SEMI-FONDU_H
Trombone+sordina_wah,médium,Violoncello+sordina_piombo,médium,592,161,431,1082,1087,5,0.932,0.711,FONDU_Fp
Sax_Alto,médium,Trombone,médium,613,602,11,1331,1008,323,0.779,0.711,SEMI-FONDU
Harp,médium,Violin+sordina,médium,193,355,162,1053,1175,122,0.701,0.710,HÉTÉROGÈNE
Trombone+sordina_straight,médium,Vibraphone,grave,592,312,280,979,1130,151,0.920,0.709,SEMI-FONDU_H
Contrabass_Tuba,médium,Violin_Ensemble+sordina,médium,215,344,129,964,1140,176,0.731,0.709,HÉTÉROGÈNE
Bassoon+sordina,grave,Violoncello+sordina,médium,484,193,291,1047,1226,179,0.977,0.709,SEMI-FONDU_H
Bassoon+sordina,grave,Violoncello,médium,484,193,291,1047,1202,155,0.940,0.709,SEMI-FONDU_H
Trumpet_C,médium,Trumpet_C+sordina_straight,médium,1152,1442,290,1306,1428,122,0.889,0.708,SEMI-FONDU_H
Bass_Trombone,médium,Trombone+sordina_straight,médium,872,592,280,1123,979,144,0.907,0.708,SEMI-FONDU_H
Bassoon,grave,Viola_Ensemble,médium,506,312,194,1127,1339,212,0.878,0.708,SEMI-FONDU_H
Bass_Flute,médium,Contrabass_Clarinet_Bb,médium,312,75,237,1132,1363,231,0.971,0.708,SEMI-FONDU_H
English_Horn,médium,Oboe+sordina,médium,1065,1324,259,1186,1364,178,0.924,0.708,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Contrabass,médium,473,161,312,1077,1205,128,0.929,0.707,SEMI-FONDU_H
Bass_Flute,médium,Trumpet_C+sordina_harmon,médium,312,301,11,1132,1353,221,0.615,0.707,CONVERGENT
Contrabass_Clarinet_Bb,médium,Contrebasson,médium,75,226,151,1363,1078,285,0.918,0.705,SEMI-FONDU_H
Trombone+sordina_wah,médium,Violin_Ensemble,médium,592,344,248,1082,1225,143,0.846,0.704,SEMI-FONDU_H
Trombone+sordina_straight,médium,Violin,médium,592,366,226,979,1111,132,0.793,0.702,HÉTÉROGÈNE
Trombone,médium,Violin+sordina,médium,602,355,247,1008,1175,167,0.876,0.702,SEMI-FONDU_H
Contrabass+sordina,médium,Violin,médium,161,366,205,1205,1111,94,0.704,0.702,HÉTÉROGÈNE
Bass_Tuba,médium,Trombone+sordina_straight,médium,204,592,388,1001,979,22,0.869,0.702,FONDU_Fp
Contrabass_Clarinet_Bb,médium,Viola+sordina,médium,75,322,247,1363,1151,212,0.942,0.702,SEMI-FONDU_H
Trombone+sordina_straight,médium,Violin_Ensemble+sordina,médium,592,344,248,979,1140,161,0.866,0.701,SEMI-FONDU_H
Guitar,médium,Violin_Ensemble,médium,215,344,129,1002,1225,223,0.775,0.699,HÉTÉROGÈNE
Trombone,médium,Trumpet_C+sordina_wah,médium,602,312,290,1008,1139,131,0.878,0.698,SEMI-FONDU_H
Guitar,médium,Viola+sordina_piombo,médium,215,290,75,1002,1247,245,0.722,0.697,SEMI-FONDU
Contrabass_Clarinet_Bb,médium,Vibraphone,grave,75,312,237,1363,1130,233,0.947,0.697,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Harp,médium,75,193,118,1363,1053,310,0.884,0.697,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Viola,médium,473,322,151,1077,1315,238,0.825,0.697,SEMI-FONDU_H
Contrabass,médium,Violin,médium,161,366,205,1205,1111,94,0.690,0.697,HÉTÉROGÈNE
Bassoon,grave,Contrabass_Tuba,médium,506,215,291,1127,964,163,0.922,0.696,SEMI-FONDU_H
Trombone,médium,Trombone+sordina_harmon,médium,602,183,419,1008,1075,67,0.969,0.696,SEMI-FONDU_H
Contrabass_Flute,médium,Trumpet_C+sordina_harmon,médium,333,301,32,1128,1353,225,0.625,0.696,HÉTÉROGÈNE
Bass_Clarinet_Bb,médium,Bassoon,grave,183,506,323,1270,1127,143,0.938,0.696,SEMI-FONDU_H
Sax_Alto,médium,Violin,médium,613,366,247,1331,1111,220,0.939,0.695,SEMI-FONDU_H
Bass_Tuba,médium,Violin,médium,204,366,162,1001,1111,110,0.646,0.695,HÉTÉROGÈNE
Bassoon,grave,Viola+sordina_piombo,médium,506,290,216,1127,1247,120,0.739,0.694,HÉTÉROGÈNE
Contrabass_Clarinet_Bb,médium,Violin_Ensemble,médium,75,344,269,1363,1225,138,0.845,0.694,SEMI-FONDU_H
Clarinet_Eb,médium,Trumpet_C,médium,1496,1152,344,1417,1306,111,0.916,0.693,SEMI-FONDU_H
Violin+sordina_piombo,médium,Violoncello,médium,75,193,118,1376,1202,174,0.669,0.692,HÉTÉROGÈNE
Flute,médium,Trumpet_C,médium,1496,1152,344,1412,1306,106,0.906,0.692,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Horn+sordina,médium,75,312,237,1363,1161,202,0.889,0.692,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Trumpet_C+sordina_harmon,médium,75,301,226,1363,1353,10,0.584,0.692,HÉTÉROGÈNE
Bass_Tuba+sordina,médium,Viola_Ensemble,médium,473,312,161,1077,1339,262,0.862,0.691,SEMI-FONDU_H
Bassoon,grave,Clarinet_Bb,chalumeau,506,215,291,1127,1315,188,0.944,0.690,SEMI-FONDU_H
Harp,médium,Trombone+sordina_wah,médium,193,592,399,1053,1082,29,0.865,0.689,FONDU_Fp
Horn+sordina,médium,Trombone+sordina_straight,médium,312,592,280,1161,979,182,0.915,0.689,SEMI-FONDU_H
Harp,médium,Viola+sordina_piombo,médium,193,290,97,1053,1247,194,0.658,0.689,HÉTÉROGÈNE
Harp,médium,Violin_Ensemble,médium,193,344,151,1053,1225,172,0.705,0.688,HÉTÉROGÈNE
Contrabass_Clarinet_Bb,médium,Contrabass_Flute,médium,75,333,258,1363,1128,235,0.957,0.687,SEMI-FONDU_H
Trombone+sordina_wah,médium,Viola_Ensemble+sordina,médium,592,290,302,1082,1261,179,0.938,0.687,SEMI-FONDU_H
Violin+sordina_piombo,médium,Violoncello+sordina,médium,75,193,118,1376,1226,150,0.618,0.687,HÉTÉROGÈNE
Bass_Tuba,médium,Trombone,médium,204,602,398,1001,1008,7,0.823,0.686,FONDU_Fp
Contrabass_Tuba,médium,Violin,médium,215,366,151,964,1111,147,0.661,0.686,HÉTÉROGÈNE
Bassoon+sordina,grave,Contrabass+sordina,médium,484,161,323,1047,1205,158,0.935,0.685,SEMI-FONDU_H
Guitar,médium,Viola_Ensemble,médium,215,312,97,1002,1339,337,0.864,0.685,SEMI-FONDU_H
Trombone+sordina_harmon,médium,Trombone+sordina_straight,médium,183,592,409,1075,979,96,0.968,0.684,SEMI-FONDU_H
Guitar,médium,Trombone+sordina_wah,médium,215,592,377,1002,1082,80,0.896,0.684,SEMI-FONDU_H
Violin+sordina_piombo,médium,Violoncello_Ensemble,médium,75,204,129,1376,1211,165,0.650,0.684,HÉTÉROGÈNE
Bassoon,grave,Sax_Alto,médium,506,613,107,1127,1331,204,0.676,0.684,HÉTÉROGÈNE
Contrebasson,médium,Trombone+sordina_straight,médium,226,592,366,1078,979,99,0.906,0.683,SEMI-FONDU_H
