instrument_A,register_A,instrument_B,register_B,F1_A_hz,F1_B_hz,delta_F1_hz,Fp_A_hz,Fp_B_hz,delta_Fp_hz,Homogeneity_H,fusion_score,category
Viola+sordina_piombo,médium,Violin,médium,290,366,76,1247,1111,136,0.967,0.859,SEMI-FONDU
Contrabass+sordina,médium,Trombone+sordina_harmon,médium,161,183,22,1205,1075,130,0.876,0.859,FONDU
Bass_Tuba,médium,Marimba,médium,204,322,118,1001,1025,24,0.859,0.859,FONDU_Fp
Contrabass,médium,Horn+sordina,médium,161,312,151,1205,1161,44,0.937,0.858,FONDU_Fp
Contrabass_Flute,médium,Violoncello+sordina_piombo,médium,333,161,172,1128,1087,41,0.964,0.858,FONDU_Fp
Contrabass_Tuba,médium,Trombone+sordina_harmon,médium,215,183,32,964,1075,111,0.859,0.858,SEMI-FONDU
Harp,médium,Horn,médium,193,322,129,1053,1006,47,0.908,0.858,FONDU_Fp
Guitar,médium,Vibraphone,grave,215,312,97,1002,1130,128,0.982,0.858,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Viola_Ensemble,médium,183,312,129,1270,1339,69,0.940,0.857,SEMI-FONDU_H
Bassoon+sordina,grave,Marimba,médium,484,322,162,1047,1025,22,0.919,0.857,FONDU_Fp
Trombone+sordina_harmon,médium,Viola+sordina,médium,183,322,139,1075,1151,76,0.965,0.857,SEMI-FONDU_H
Contrabass_Flute,médium,Contrebasson,médium,333,226,107,1128,1078,50,0.876,0.856,FONDU_Fp
Clarinet_Bb,chalumeau,Contrabass+sordina,médium,215,161,54,1315,1205,110,0.885,0.856,SEMI-FONDU
Harp,médium,Vibraphone,grave,193,312,119,1053,1130,77,0.932,0.855,SEMI-FONDU_H
Harp,médium,Marimba,médium,193,322,129,1053,1025,28,0.873,0.855,FONDU_Fp
